Время,Номер_двигателя,RMS_ток,Боковая_левая,Боковая_правая,Дисбаланс,RUL,Статус
2026-04-13 20:24:15,Motor_01,0.75,0.04,0.02,1.8,79.9000015258789,Критично
2026-04-13 20:24:40,Motor_01,0.78,0.04,0.02,1.8,81.9000015258789,Критично
2026-04-13 20:27:12,Motor_01,0.78,0.04,0.02,1.8,81.9000015258789,Критично
2026-04-13 20:27:19,Motor_01,0.78,0.03,0.02,1.8,136.8000030517578,Риск
2026-04-13 20:44:42,Motor_01,0.75,0.033,0.013,1.8,135.0,Риск
2026-04-13 20:48:03,Motor_01,0.8,0.06,0.04,1.8,81.9000015258789,Критично
2026-04-13 20:51:55,Motor_01,0.77,0.033,0.03,1.8,136.8000030517578,Риск
2026-04-13 21:00:25,Motor_01,0.75,0.033,0.013,1.8,135.0,Риск
2026-04-13 21:01:14,Motor_01,0.75,0.05,0.03,1.73,80.30000305175781,Критично
2026-04-13 21:02:53,Motor_01,0.75,0.05,0.03,1.73,80.30000305175781,Критично
2026-04-13 21:03:52,Motor_01,0.54,0.11,0.11,0.0,293.70001220703125,Норма
